Class,Label,Latitude,Longitude,B02,B03,B04,B08,NDVI,EVI,SAVI,NDWI
Urban Areas,1,4855685.0,674685.0,1383,1587,895,2203,-0.27880741337630943,-38.02197802197802,-0.41812688821752264,-0.162532981530343
Urban Areas,1,4855685.0,674695.0,1485,1587,1066,2203,-0.19638145495665285,2.374658158614403,-0.29451667608818544,-0.162532981530343
Urban Areas,1,4855685.0,674705.0,1606,1620,1239,2070,-0.13326337880377753,0.8778801843317973,-0.19986011540479104,-0.12195121951219512
Urban Areas,1,4855685.0,674715.0,1388,1620,1104,2070,-0.1894273127753304,-3.108433734939759,-0.28408882363736465,-0.12195121951219512
Urban Areas,1,4855685.0,674725.0,1119,1405,837,1588,-0.25334522747546834,-1.6219303255282695,-0.37993311036789296,-0.06114266622118276
Urban Areas,1,4855685.0,674735.0,1146,1405,996,1588,-0.17034568929612662,-1.2289663461538463,-0.25546533416614614,-0.06114266622118276
Urban Areas,1,4855685.0,674745.0,1075,1392,999,1553,-0.164366373902133,-0.7619232260566111,-0.246498013798871,-0.05466893039049236
Urban Areas,1,4855685.0,674755.0,1142,1392,912,1553,-0.20833333333333334,-1.7142857142857142,-0.31243219787372534,-0.05466893039049236
Urban Areas,1,4855685.0,674765.0,1211,1364,957,1555,-0.17535545023696683,-17.100840336134453,-0.2629765237992677,-0.06543336759164098
Urban Areas,1,4855685.0,674775.0,1226,1364,1033,1555,-0.1380892782644973,-35.97826086956522,-0.20709071949947863,-0.06543336759164098
Urban Areas,1,4855685.0,674785.0,1359,1332,1131,1777,-0.08160779537149818,0.470285446888161,-0.12238684798051552,-0.1431328401415246
Urban Areas,1,4855685.0,674795.0,1515,1332,1173,1777,-0.06347305389221557,0.18096972456180288,-0.0951905807224107,-0.1431328401415246
Urban Areas,1,4855685.0,674805.0,952,1061,838,2940,-0.11743022643496577,-8.576923076923077,-0.17609897341405634,-0.469632591852037
Urban Areas,1,4855685.0,674815.0,676,1061,640,2940,-0.24750146972369194,-0.5433660299432111,-0.37114310902145164,-0.469632591852037
Urban Areas,1,4855685.0,674825.0,529,1060,656,3341,-0.23543123543123542,-0.3312018363666175,-0.35304398485289834,-0.5182912974324018
Urban Areas,1,4855685.0,674835.0,747,1060,605,3341,-0.2732732732732733,-0.8342500916758343,-0.4097868507955569,-0.5182912974324018
Urban Areas,1,4855685.0,674845.0,967,1232,613,1749,-0.33550135501355016,-2.0537491705374915,-0.5031156868057437,-0.17343173431734318
Urban Areas,1,4855685.0,674855.0,1032,1232,860,1749,-0.17782026768642448,-1.8128654970760234,-0.26666666666666666,-0.17343173431734318
Urban Areas,1,4855685.0,674865.0,899,1056,765,1256,-0.15980230642504117,-2.023643949930459,-0.23963766126818556,-0.08650519031141868
