Class,Label,Latitude,Longitude,B02,B03,B04,B08,NDVI,EVI,SAVI,NDWI
Forests and semi-natural areas,3,4949925.0,695735.0,355,596,396,1523,-0.20161290322580644,-0.38153376573826786,-0.3022670025188917,-0.43747050495516754
Forests and semi-natural areas,3,4949925.0,695745.0,438,673,423,1702,-0.2281021897810219,-0.5310110450297366,-0.34199726402188785,-0.43326315789473685
Forests and semi-natural areas,3,4949925.0,695755.0,455,673,443,1702,-0.2060931899641577,-0.5376344086021505,-0.30900134348410213,-0.43326315789473685
Forests and semi-natural areas,3,4949925.0,695765.0,439,728,428,1632,-0.25951557093425603,-0.4985044865403789,-0.38910505836575876,-0.38305084745762713
Forests and semi-natural areas,3,4949925.0,695775.0,396,728,417,1632,-0.27161572052401745,-0.4281387665198238,-0.40724574421649934,-0.38305084745762713
Agricultural Areas,2,4949925.0,695785.0,346,817,420,1990,-0.32093775262732416,-0.36381964809384165,-0.4812121212121212,-0.4178838617741361
Agricultural Areas,2,4949925.0,695795.0,504,817,518,1990,-0.22397003745318353,-0.45551492992078,-0.3358292774241857,-0.4178838617741361
Agricultural Areas,2,4949925.0,695805.0,495,913,554,2345,-0.2447171097477846,-0.3867700926524456,-0.36695059625212945,-0.43953345610804173
Agricultural Areas,2,4949925.0,695815.0,516,913,553,2345,-0.24556616643929058,-0.4162812210915819,-0.3682236617797477,-0.43953345610804173
Agricultural Areas,2,4949925.0,695825.0,519,935,561,2402,-0.25,-0.4101776705417855,-0.3748747076511861,-0.4396164219358705
Agricultural Areas,2,4949925.0,695835.0,469,935,595,2402,-0.2222222222222222,-0.3161614283057467,-0.3332244364586736,-0.4396164219358705
Agricultural Areas,2,4949925.0,695845.0,454,1004,607,2961,-0.24643078833022966,-0.3075612023551286,-0.3695314923983866,-0.4935687263556116
Agricultural Areas,2,4949925.0,695855.0,498,1004,615,2961,-0.24027177269919703,-0.3347676419965577,-0.3602963877740043,-0.4935687263556116
Agricultural Areas,2,4949925.0,695865.0,495,1142,698,3440,-0.24130434782608695,-0.2891754591637358,-0.36185819070904646,-0.5015277171540812
Agricultural Areas,2,4949925.0,695875.0,514,1142,733,3440,-0.21813333333333335,-0.27405521307960334,-0.3271127699280192,-0.5015277171540812
Agricultural Areas,2,4949925.0,695885.0,539,1196,746,3527,-0.23171987641606592,-0.2899110939311944,-0.3474903474903475,-0.49354224010163034
Agricultural Areas,2,4949925.0,695895.0,610,1196,756,3527,-0.22540983606557377,-0.3275759380583681,-0.3380281690140845,-0.49354224010163034
Urban Areas,1,4949925.0,695905.0,574,1158,731,3461,-0.22604552673372155,-0.3162962962962963,-0.33897856575813706,-0.4985927689976185
Urban Areas,1,4949925.0,695915.0,642,1158,725,3461,-0.2299522039298991,-0.37862889122070653,-0.34483674011149457,-0.4985927689976185
Urban Areas,1,4949925.0,695925.0,617,1162,691,2993,-0.2541824069077172,-0.38778198583895934,-0.38117075802535744,-0.4406738868832732
Agricultural Areas,2,4949925.0,695935.0,580,1162,755,2993,-0.21231090245174752,-0.3012137359384251,-0.3183833116036506,-0.4406738868832732
Agricultural Areas,2,4949925.0,695945.0,606,1304,800,3117,-0.23954372623574144,-0.3088235294117647,-0.3592302209550962,-0.41008821533589684
Agricultural Areas,2,4949925.0,695955.0,625,1304,812,3117,-0.23251417769376181,-0.3114318268135207,-0.3486888731396173,-0.41008821533589684
Agricultural Areas,2,4949925.0,695965.0,687,1294,790,2889,-0.2418426103646833,-0.37031594415870683,-0.3626769009354761,-0.38130528328950514
Agricultural Areas,2,4949925.0,695975.0,723,1294,785,2889,-0.24482924482924484,-0.40687450039968026,-0.36715556624188506,-0.38130528328950514
Agricultural Areas,2,4949925.0,695985.0,712,1215,763,2718,-0.22851365015166836,-0.4163596168017686,-0.34268385140257773,-0.38215102974828374
Agricultural Areas,2,4949925.0,695995.0,628,1215,706,2718,-0.26496616345653307,-0.38713112260419835,-0.39734582357533177,-0.38215102974828374
Agricultural Areas,2,4949925.0,696005.0,507,953,637,1944,-0.19874213836477989,-0.3093792833365968,-0.2980194907261867,-0.3420780117362789
Agricultural Areas,2,4949925.0,696015.0,468,953,470,1944,-0.3394237526352776,-0.4507278835386338,-0.5089567966280295,-0.3420780117362789
Agricultural Areas,2,4949925.0,696025.0,436,662,432,1428,-0.21023765996343693,-0.5066079295154186,-0.3152124257651896,-0.36650717703349284
Agricultural Areas,2,4949925.0,696035.0,296,662,320,1428,-0.34826883910386963,-0.41244573082489144,-0.5221374045801527,-0.36650717703349284
Agricultural Areas,2,4949925.0,696045.0,318,761,318,1922,-0.41056533827618164,-0.443,-0.6155627605372858,-0.43272456205739845
Agricultural Areas,2,4949925.0,696055.0,345,761,460,1922,-0.24651924651924653,-0.3084648493543759,-0.36962750716332377,-0.43272456205739845
Agricultural Areas,2,4949925.0,696065.0,486,869,598,2517,-0.18473074301295161,-0.3125,-0.2770017035775128,-0.48670998227997636
Agricultural Areas,2,4949925.0,696075.0,642,869,671,2517,-0.12857142857142856,-0.46218487394957986,-0.19279454722492698,-0.48670998227997636
Agricultural Areas,2,4949925.0,696085.0,509,743,653,2100,-0.06446991404011461,-0.17381228273464658,-0.0966702470461869,-0.4773126978543792
Agricultural Areas,2,4949925.0,696095.0,500,743,469,2100,-0.22607260726072606,-0.5814940577249575,-0.3389690721649484,-0.4773126978543792
Agricultural Areas,2,4949925.0,696105.0,438,929,473,2594,-0.3252496433666191,-0.41259500542888167,-0.48770053475935826,-0.47260857223956854
Agricultural Areas,2,4949925.0,696115.0,485,929,618,2594,-0.20103425985778928,-0.3042457444727059,-0.301453957996769,-0.47260857223956854
Agricultural Areas,2,4949925.0,696125.0,633,1158,767,3091,-0.2031168831168831,-0.32929088765369713,-0.30459620877694105,-0.45493057189927044
Agricultural Areas,2,4949925.0,696135.0,574,1158,718,3091,-0.2345415778251599,-0.3271861986912552,-0.3517186250999201,-0.45493057189927044
Agricultural Areas,2,4949925.0,696145.0,515,1075,678,2909,-0.226468910439247,-0.3038420327567733,-0.339606501283148,-0.4603413654618474
Agricultural Areas,2,4949925.0,696155.0,573,1075,650,2909,-0.2463768115942029,-0.3789905475298734,-0.3694581280788177,-0.4603413654618474
Agricultural Areas,2,4949925.0,696165.0,644,1193,805,2843,-0.1941941941941942,-0.30950861518825784,-0.2912184138103578,-0.408820614469772
Urban Areas,1,4949925.0,696175.0,860,1193,867,2843,-0.15825242718446603,-0.5171319796954315,-0.23732103858286824,-0.408820614469772
Urban Areas,1,4949925.0,696185.0,849,932,663,2183,-0.16865203761755485,6.031390134529148,-0.25289877781259795,-0.4016051364365971
Urban Areas,1,4949925.0,696195.0,343,932,496,2183,-0.30532212885154064,-0.3099672970282952,-0.4578228911445572,-0.4016051364365971
Urban Areas,1,4949925.0,696205.0,404,815,480,3011,-0.25868725868725867,-0.35775309696710805,-0.38788112697800076,-0.5739675901725039
Urban Areas,1,4949925.0,696215.0,373,815,645,3011,-0.11643835616438356,-0.1551944495161585,-0.17459774049982882,-0.5739675901725039
Urban Areas,1,4949925.0,696225.0,373,951,511,4083,-0.3009575923392613,-0.321590410758661,-0.4512820512820513,-0.6221692491060786
Urban Areas,1,4949925.0,696235.0,293,951,560,4083,-0.25876902713434813,-0.24020149895564566,-0.38802514058881904,-0.6221692491060786
Urban Areas,1,4949925.0,696245.0,258,971,506,3322,-0.3148273527420447,-0.26432469304229195,-0.4720812182741117,-0.5476356860004659
Urban Areas,1,4949925.0,696255.0,282,971,449,3322,-0.3676056338028169,-0.3136265320836337,-0.5512143611404435,-0.5476356860004659
Urban Areas,1,4949925.0,696265.0,454,924,469,2046,-0.32663316582914576,-0.43599080107320815,-0.4897739504843918,-0.37777777777777777
Urban Areas,1,4949925.0,696275.0,692,924,620,2046,-0.19689119170984457,-0.7794871794871795,-0.2952411783748786,-0.37777777777777777
Agricultural Areas,2,4949925.0,696285.0,818,1108,847,2702,-0.13350383631713555,-0.47942689199118294,-0.20020455126566095,-0.4183727034120735
Agricultural Areas,2,4949925.0,696295.0,907,1108,940,2702,-0.08203125,-0.5340114431023522,-0.12301684159140834,-0.4183727034120735
Agricultural Areas,2,4949925.0,696305.0,804,1375,883,3227,-0.2178919397697077,-0.3962628865979381,-0.32676555235775956,-0.40243372446762277
Agricultural Areas,2,4949925.0,696315.0,742,1375,773,3227,-0.2802607076350093,-0.4350968488002313,-0.42029322783337214,-0.40243372446762277
