Class,Label,Latitude,Longitude,B02,B03,B04,B08,NDVI,EVI,SAVI,NDWI
Forests and semi-natural areas,3,4951205.0,697505.0,447,685,439,1673,-0.2188612099644128,-0.5135699373695198,-0.32814584259670965,-0.41899915182357933
Forests and semi-natural areas,3,4951205.0,697515.0,402,685,388,1673,-0.2767940354147251,-0.5003369272237197,-0.4149976711690731,-0.41899915182357933
Forests and semi-natural areas,3,4951205.0,697525.0,437,653,427,1438,-0.20925925925925926,-0.5287786616752457,-0.3137436372049977,-0.3754184600669536
Forests and semi-natural areas,3,4951205.0,697535.0,406,653,392,1438,-0.24976076555023924,-0.5154028436018957,-0.3744619799139168,-0.3754184600669536
Urban Areas,1,4951205.0,697545.0,430,694,418,1257,-0.24820143884892087,-0.508100147275405,-0.37213483146067416,-0.2885699641209636
Urban Areas,1,4951205.0,697555.0,555,694,543,1257,-0.12206952303961197,-0.692025664527956,-0.18303030303030304,-0.2885699641209636
Urban Areas,1,4951205.0,697565.0,626,808,594,1134,-0.15263908701854492,-0.7152406417112299,-0.2288770053475936,-0.1678681771369722
Urban Areas,1,4951205.0,697575.0,688,808,681,1134,-0.08529214237743452,-0.8581081081081081,-0.12789526686807653,-0.1678681771369722
Urban Areas,1,4951205.0,697585.0,772,697,723,866,0.018309859154929577,-0.07352941176470588,0.027455121436114043,-0.10812539987204095
Urban Areas,1,4951205.0,697595.0,612,697,597,866,-0.07727975270479134,-1.3157894736842106,-0.11587485515643106,-0.10812539987204095
Urban Areas,1,4951205.0,697605.0,322,448,365,924,-0.10209102091020911,-0.32472613458528954,-0.1530424093423479,-0.3469387755102041
Urban Areas,1,4951205.0,697615.0,241,448,308,924,-0.18518518518518517,-0.2942412778478352,-0.2775941837409121,-0.3469387755102041
Urban Areas,1,4951205.0,697625.0,253,480,250,1153,-0.3150684931506849,-0.4661532225374949,-0.4722792607802875,-0.41212492345376606
Urban Areas,1,4951205.0,697635.0,336,480,308,1153,-0.2182741116751269,-0.6427503736920778,-0.3272035510462904,-0.41212492345376606
Forests and semi-natural areas,3,4951205.0,697645.0,523,885,462,2044,-0.31403118040089084,-0.5714671710348554,-0.47087198515769946,-0.395698190508706
Agricultural Areas,2,4951195.0,697335.0,295,777,394,2981,-0.32707087959009395,-0.33661451924767094,-0.49039692701664533,-0.5864821713677488
Agricultural Areas,2,4951195.0,697345.0,332,776,457,2813,-0.2587185725871857,-0.3039253048780488,-0.3879205512768545,-0.5675675675675675
Agricultural Areas,2,4951195.0,697355.0,410,776,572,2813,-0.1513353115727003,-0.23676880222841226,-0.22691879866518352,-0.5675675675675675
Agricultural Areas,2,4951195.0,697365.0,442,977,642,3374,-0.20691785052501543,-0.26253918495297807,-0.31028095091077496,-0.5509078372787864
Agricultural Areas,2,4951195.0,697375.0,383,977,650,3374,-0.20098340503995082,-0.22455706633704162,-0.3013824884792627,-0.5509078372787864
Agricultural Areas,2,4951195.0,697385.0,383,909,559,3509,-0.23841961852861035,-0.2785293649530479,-0.3575076608784474,-0.5885015844273427
Agricultural Areas,2,4951195.0,697395.0,360,909,541,3509,-0.2537931034482759,-0.279126213592233,-0.38055842812823165,-0.5885015844273427
Agricultural Areas,2,4951195.0,697405.0,345,870,429,1864,-0.3394919168591224,-0.36,-0.5090419392073875,-0.3635698610095099
Urban Areas,1,4951195.0,697415.0,620,870,649,1864,-0.14549045424621462,-0.45286885245901637,-0.21816386969397827,-0.3635698610095099
Urban Areas,1,4951195.0,697425.0,679,1014,756,3182,-0.14576271186440679,-0.3688876179582499,-0.21858232137814176,-0.5166825548141086
